,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
January,"30,006","29,435","28,473","27,246","26,996","27,288","26,823","26,853","26,360","27,145","27,338","28,247","29,272","30,494","30,667","30,504","30,367","30,697","31,165","31,332","31,032","30,629","30,349","30,516","30,165","30,186","27,692","28,557","28,015"
February,"29,076","28,843","26,621","26,484","25,691","26,245","25,447","24,814","24,980","25,815","25,123","26,253","27,121","29,391","28,544","27,878","28,096","29,262","28,536","28,505","28,342","29,365","28,305","27,677","27,473","27,899","27,358","26,246","25,714"
March,"33,448","31,816","30,096","29,821","29,330","29,277","29,261","27,901","28,198","29,041","29,503","29,800","30,555","31,221","32,266","32,434","31,450","31,464","31,322","31,689","31,415","32,158","31,351","31,131","30,689","30,588","31,633","28,785","29,004"
April,"31,765","31,834","30,737","30,314","28,592","28,257","28,894","27,739","27,932","28,538","29,139","28,917","30,187","31,517","31,788","31,607","30,869","31,010","30,818","31,109","31,600","31,664","30,701","30,404","30,441","30,119","30,311","28,473","28,138"
May,"34,593","33,150","31,834","30,877","30,051","29,881","29,970","28,892","29,505","28,870","30,032","31,264","31,986","32,930","33,119","32,084","32,640","32,826","32,951","33,510","32,677","32,708","32,359","32,844","32,214","31,320","32,180","30,371","29,890"
June,"33,055","31,368","30,077","29,399","29,387","28,820","28,638","27,350","28,320","28,885","29,980","30,431","31,805","31,996","32,562","31,947","32,506","31,760","31,735","32,205","32,546","32,409","32,176","31,773","31,596","30,406","32,410","30,108","29,847"
July,"33,339","32,493","31,114","30,329","30,227","28,606","29,169","29,099","30,400","29,655","30,464","31,155","32,613","34,205","34,623","32,896","33,823","33,632","34,087","34,874","34,697","34,233","33,595","33,270","33,965","32,435","33,610","31,322","31,138"
August,"32,814","31,334","29,321","28,998","28,444","27,802","28,874","28,798","29,093","29,257","30,353","32,134","33,191","33,249","33,558","32,896","33,677","34,548","33,832","33,848","33,521","34,429","33,735","33,626","33,454","31,434","32,917","31,706","30,892"
September,"32,608","30,928","29,322","29,703","29,254","26,954","28,327","28,997","29,662","29,588","30,398","31,903","32,301","34,108","34,105","33,554","33,569","33,351","33,126","33,892","33,688","34,093","32,875","32,394","32,446","31,065","32,753","30,472","30,549"
October,"30,807","29,944","28,336","27,940","27,257","25,899","27,713","27,968","28,947","28,283","28,956","30,695","31,974","32,856","33,101","32,692","32,040","33,071","32,687","32,880","32,510","32,140","31,984","31,730","31,667","30,097","31,231","29,671","30,759"
November,"28,770","27,384","26,334","25,461","25,708","24,968","25,892","25,921","26,206","26,871","27,163","28,742","29,925","29,721","30,242","30,308","30,527","31,160","30,045","30,432","30,387","30,246","30,410","29,923","29,558","27,777","29,430","28,428","29,159"
December,"28,404","28,304","27,278","26,394","26,884","24,599","25,607","25,562","26,749","27,064","26,916","28,380","29,439","30,172","30,076","30,391","29,680","30,320","30,750","30,301","30,564","29,949","29,787","29,329","29,310","27,475","28,630","27,540","28,773"
